a;b;c;d
52.058;13.1292;0;
50.5596;29.812;0;
41.1382;26.2691;0;
48.7877;20.9646;0;
42.755;45.1064;0;
46.4055;46.329;0;
42.5891;49.945;0;
39.2701;45.7831;0;
10.0975;43.9993;0;
3.5858;13.1635;0;
14.6462;5.5539;0;
17.8021;4.5239;0;
27.7896;4.5239;0;
32.0364;6.0415;0;
35.9274;8.4632;0;
54.5779;25.2378;0;
25.9122;50.9122;0;
19.7112;50.4859;0;
19.7126;0;0;
25.8791;0;0;
27.2135;27.5467;-1;
5.8815;10.1143;-1;
44.0284;21.5185;-1;
48.7538;20.7157;-1;
42.4017;7.6432;-1;
39.2759;4.687;-1;
54.0352;30.4029;-1;
45.2436;28.9091;-1;
44.0623;21.7677;-1;
54.0352;20.0736;-1;
40.8155;28.4158;-1;
50.5615;30.477;-1;
37.8947;40.6628;-1;
40.2221;34.9375;-1;
43.3282;31.0837;-1;
27.2061;27.8085;-1;
31.7628;18.6847;-1;
13.5531;11.554;-1;
5.4951;23.0904;-1;
12.901;40.3726;-1;
9.8124;38.1764;-1;
12.5625;10.0787;-1;
10.1104;6.4234;-1;
11.0576;7.4593;-1;
38.9005;16.3475;-2;
42.5945;0.5251;-2;
46.4101;4.1412;-2;
37.1641;8.5892;-2;
40.8512;28.112;-2;
41.1382;24.2065;-2;
40.8512;22.3641;-2;
37.7962;35.8692;-2;
52.6804;35.6895;-2;
26.2684;31.7662;-2;
33.3354;10.5499;-2;
38.577;16.4147;-2;
39.4164;18.3538;-2;
40.7573;24.2258;-2;
27.1241;22.6611;-2;
30.6019;9.0251;-2;
18.3752;22.9721;-2;
7.8265;35.8253;-2;
36.5146;12.9842;-3;
39.741;18.2308;-3;
49.6133;8.3966;-3;
39.7834;32.2707;-3;
32.3514;38.7015;-3;
40.7573;26.2416;-3;
26.2762;18.7058;-3;
29.3685;14.9366;-3;
26.8412;41.6515;-3;
12.543;40.3521;-3;
5.8486;18.2159;-3;
4.9117;21.1551;-3;
0.6761;20.1894;-3;
33.4111;10.2688;-3;
32.5543;9.6985;-3;
19.7236;7.145;-3;
40.7987;22.0672;-4;
45.2564;29.1703;-4;
38.9166;28.8137;-4;
37.4676;35.6437;-4;
34.7837;38.6472;-4;
39.1779;27.3116;-4;
32.0899;27.5469;-4;
25.8102;7.4979;-4;
12.9911;10.1492;-4;
16.5052;14.8574;-4;
29.1636;14.7651;-4;
20.6578;37.4442;-4;
0.146;23.9032;-4;
25.869;7.145;-4;
12.7864;9.9292;-4;
26.0685;18.5361;-5;
19.274;31.7301;-5;
34.2728;10.8641;-5;
38.0514;31.5549;-5;
32.0901;22.7216;-5;
19.5246;18.536;-5;
20.6566;12.9952;-5;
6.1749;18.353;-5;
16.2231;14.9353;-5;
18.4037;20.5513;-5;
0.4377;29.0242;-5;
0.1484;24.0472;-5;
7.8365;14.6179;-5;
18.38;22.6011;-6;
13.8643;18.5695;-6;
29.3638;35.5372;-6;
32.6089;10.1549;-6;
7.0501;16.5358;-6;
8.1744;14.7559;-6;
19.2708;18.7431;-6;
13.5005;22.9126;-6;
18.4649;27.8069;-6;
31.8372;39.0655;-6;
19.5673;31.917;-6;
26.0466;31.917;-6;
29.2016;35.6668;-6;
35.9976;41.9822;-6;
5.0563;39.3469;-6;
1.388;32.7085;-6;
14.8371;8.7031;-6;
49.8447;33.0859;-7;
14.9909;9.0251;-7;
24.9367;12.9952;-7;
6.1485;20.278;-7;
10.7388;11.8858;-7;
6.1762;32.1133;-7;
6.9407;29.8456;-7;
4.8364;24.2273;-7;
24.956;37.4442;-7;
2.9431;36.182;-7;
10.5762;11.5535;-7;
19.7829;7.4979;-8;
4.4838;24.1468;-8;
16.4092;35.7611;-8;
13.5029;22.661;-9;
13.5668;38.92;-9;
8.1229;35.636;-9;
16.2274;35.536;-9;
13.5005;27.867;-9;
25.8334;42.9654;-9;
4.7089;28.299;-9;
5.8439;32.2372;-9;
12.7583;40.5155;-10;
13.8618;31.8968;-10;
19.7807;42.9654;-10;
10.4389;38.301;-11;
6.3912;27.12;-11;
14.8171;41.7455;-11;
14.9677;41.4312;-11;
1.8346;16.5534;-11;
4.4745;24.2901;-12;
55;0;0;
0;53;0;
55;53;0;
0;0;0;
2;16;0;
0;20;0;
10;0;0;
20;0;0;
30;0;0;
40;0;0;
50;0;0;
0;10;0;
0;30;0;
0;40;0;
0;50;0;
